canonical_name,synonym,language,disambiguation_note,is_active,is_updated,last_update_date,is_review
Pani Puri,Gol Gappa,hindi,Delhi/North India name,Y,N,,Y
Pani Puri,Puchka,bengali,Kolkata name,Y,N,,Y
Pani Puri,Gupchup,hindi,Jharkhand/Odisha name,Y,N,,Y
Pani Puri,Phulki,hindi,Rajasthan name,Y,N,,Y
Samosa,Singara,bengali,Bengali name for samosa,Y,N,,Y
Poha,Chivda,marathi,Maharashtrian name variant,Y,N,,Y
Poha,Aval,tamil,South Indian name for flattened rice,Y,N,,Y
Poha,Avalakki,kannada,Karnataka name,Y,N,,Y
Dosa,Dosai,tamil,Tamil formal name,Y,N,,Y
Dosa,Dose,kannada,Karnataka name,Y,N,,Y
Dosa,Dosa,hindi,Pan-India standard,Y,N,,Y
Idli,Idly,english,Alternate English spelling,Y,N,,Y
Masala Dosa,Masale Dose,kannada,Karnataka name,Y,N,,Y
Medu Vada,Ulundu Vadai,tamil,Tamil name,Y,N,,Y
Medu Vada,Garelu,telugu,Andhra/Telangana name,Y,N,,Y
Sambar,Sambhar,english,Alternate spelling,Y,N,,Y
Sambar,Sambar,hindi,Standard Hindi,Y,N,,Y
Rasam,Chaaru,telugu,Telugu name,Y,N,,Y
Rasam,Saaru,kannada,Karnataka name,Y,N,,Y
Curd Rice,Thayir Sadam,tamil,Tamil name,Y,N,,Y
Curd Rice,Dahi Chawal,hindi,Hindi name,Y,N,,Y
Curd Rice,Mosaru Anna,kannada,Karnataka name,Y,N,,Y
Chaat Papdi,Papdi Chaat,hindi,Alternate word order,Y,N,,Y
Dahi Bhalla,Dahi Vada,hindi,South/West India name,Y,N,,Y
Dahi Bhalla,Thayir Vadai,tamil,Tamil name,Y,N,,Y
Paratha,Parantha,hindi,Alternate spelling,Y,N,,Y
Paratha,Parotta,tamil,South Indian layered bread - different dish,Y,N,,Y
Phulka,Roti,hindi,Interchangeable in North India,Y,N,,Y
Phulka,Chapati,hindi,Alternate name,Y,N,,Y
Naan,Nan,english,Alternate spelling,Y,N,,Y
Jalebi,Jilapi,bengali,Bengali name,Y,N,,Y
Jalebi,Jilebi,kannada,Karnataka name,Y,N,,Y
Gulab Jamun,Gulab Jamoon,english,Alternate spelling,Y,N,,Y
Rasgulla,Rosogolla,bengali,Bengali original name,Y,N,,Y
Kheer,Payasam,tamil,South Indian name,Y,N,,Y
Kheer,Payesh,bengali,Bengali name,Y,N,,Y
Kheer,Khir,hindi,Alternate spelling,Y,N,,Y
Biryani,Biriyani,tamil,South Indian spelling,Y,N,,Y
Pulao,Pilaf,english,English name,Y,N,,Y
Pulao,Pulav,marathi,Marathi name,Y,N,,Y
Chole,Chana Masala,hindi,Alternate name,Y,N,,Y
Chole,Chhole,hindi,Alternate spelling,Y,N,,Y
Rajma,Rajma Masala,hindi,Full name,Y,N,,Y
Uttapam,Uthappam,english,Alternate spelling,Y,N,,Y
Uttapam,Uttapa,kannada,Karnataka name,Y,N,,Y
Upma,Uppittu,kannada,Karnataka name,Y,N,,Y
Upma,Uppuma,tamil,Tamil name,Y,N,,Y
Vada Pav,Wada Pav,marathi,Alternate spelling,Y,N,,Y
Pav Bhaji,Pav Bhaaji,marathi,Alternate spelling,Y,N,,Y
Misal Pav,Misal,marathi,Short form,Y,N,,Y
Paneer Tikka,Tikka Paneer,hindi,Alternate word order,Y,N,,Y
Tandoori Chicken,Tandoori Murgh,hindi,Hindi name,Y,N,,Y
Butter Chicken,Murgh Makhani,hindi,Original Hindi name,Y,N,,Y
Dal Makhani,Maa Ki Dal,punjabi,Punjabi home name,Y,N,,Y
Dal Makhani,Kaali Dal,hindi,Alternate name,Y,N,,Y
Aloo Paratha,Alu Paratha,hindi,Alternate spelling,Y,N,,Y
Sabudana Khichdi,Sago Khichdi,english,English name for tapioca,Y,N,,Y
Dhokla,Khaman,gujarati,Specific variant name,Y,N,,Y
Khandvi,Patuli,gujarati,Alternate Gujarati name,Y,N,,Y
Khandvi,Dahivadi,gujarati,Another variant name,Y,N,,Y
Shrikhand,Shrikhand,marathi,Standard,Y,N,,Y
Puran Poli,Holige,kannada,Karnataka name,Y,N,,Y
Puran Poli,Obbattu,kannada,Karnataka alternate,Y,N,,Y
Puran Poli,Bobbatlu,telugu,Andhra name,Y,N,,Y
Modak,Kozhukattai,tamil,Tamil name,Y,N,,Y
Modak,Kudumu,telugu,Telugu name,Y,N,,Y
Lassi,Chaas,gujarati,Gujarati buttermilk - thinner variant,Y,N,,Y
Litti Chokha,Litti,hindi,Short form,Y,N,,Y
Momos,Momo,nepali,Original Nepali/Tibetan,Y,N,,Y
Seekh Kebab,Seekh Kabab,urdu,Alternate spelling,Y,N,,Y
